Number of punctuation signs,Number of words capitalized,Number of !,Number of ?,Number of words,Overall polarity,Overall subjectivity,Number of pozitive words,Number of negative words,Number of negative capitalized words,Number of pozitive capitalized words,Number of urls,Percentage of capitalized words,Number of pozitive nouns,Number of negative nouns,Number of pozitive verbs,Number of negative verbs,Number of negative adverbs,Number of pozitive adverbs,Number of pozitive adjectives,Number of negative adjectives,Sum of all nouns polarity,Sum of all verbs polarity,Sum of all adjectives polarity,Sum of all adverbs polarity,Label
0.043859649122807015,0.057803468208092484,0.07017543859649122,0.0,0.3532608695652174,0.4890625,0.5499999999999999,0.13636363636363635,0.35714285714285715,0.0,0.0,0.0,0.125,0.2,0.25,0.0,0.2,0.0,0.0,0.1111111111111111,0.14285714285714285,0.5681063122923588,0.37931034482758624,0.5230912681000439,0.3294117647058823,pozitive
0.05701754385964912,0.06358381502890173,0.0,0.0,0.44565217391304346,0.6305555555555555,0.5174603174603174,0.22727272727272727,0.07142857142857142,0.0,0.0,0.0,0.1134020618556701,0.0,0.125,0.2,0.0,0.0,0.0,0.16666666666666666,0.0,0.5681063122923588,0.5689655172413793,0.5991114523913997,0.3294117647058823,pozitive
0.17105263157894737,0.10404624277456648,0.017543859649122806,0.0,0.6195652173913043,0.6373456790123456,0.5459876543209876,0.4090909090909091,0.2857142857142857,0.14285714285714285,0.08333333333333333,0.0,0.13953488372093023,0.0,0.25,0.8,0.0,0.0,0.2222222222222222,0.2777777777777778,0.14285714285714285,0.5149501661129567,0.9482758620689655,0.6208315050460728,0.4166089965397924,pozitive
0.14035087719298245,0.31213872832369943,0.0,0.0,0.5597826086956522,0.6363636363636364,0.4636363636363636,0.2727272727272727,0.21428571428571427,0.14285714285714285,0.08333333333333333,0.0,0.4576271186440678,0.2,0.375,0.2,0.2,0.0,0.0,0.16666666666666666,0.0,0.5149501661129567,0.5689655172413793,0.6570315928038613,0.3294117647058823,pozitive
0.09210526315789473,0.17341040462427745,0.03508771929824561,0.0,0.391304347826087,0.6624007936507936,0.5203174603174603,0.22727272727272727,0.14285714285714285,0.0,0.08333333333333333,0.0,0.3448275862068966,0.0,0.25,0.2,0.0,0.0,0.0,0.2222222222222222,0.0,0.5149501661129567,0.6896551724137931,0.6663401867987213,0.3294117647058823,pozitive
0.14912280701754385,0.07514450867052024,0.0,0.0,0.6902173913043478,0.6482993197278911,0.490098261526833,0.6818181818181818,0.2857142857142857,0.0,0.0,0.0,0.09154929577464789,0.0,0.25,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.14285714285714285,0.5282392026578072,0.5172413793103449,0.7785604588478657,0.9813148788927335,pozitive
0.14035087719298245,0.09826589595375723,0.05263157894736842,0.0,0.6739130434782609,0.5213541666666667,0.662962962962963,0.2727272727272727,0.21428571428571427,0.0,0.0,0.0,0.1223021582733813,0.4,0.125,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2857142857142857,0.7674418604651163,0.5172413793103449,0.36743089074155333,0.36816608996539785,negative
0.05263157894736842,0.07514450867052024,0.03508771929824561,0.0,0.4891304347826087,0.7516666666666667,0.7100000000000001,0.4090909090909091,0.07142857142857142,0.0,0.0,0.0,0.12380952380952381,0.0,0.0,0.8,0.2,0.0,0.1111111111111111,0.2222222222222222,0.14285714285714285,0.6212624584717608,0.8448275862068967,0.6051448003510312,0.4715109573241061,pozitive
0.043859649122807015,0.11560693641618497,0.03508771929824561,0.0,0.4782608695652174,0.5375,0.6357142857142858,0.13636363636363635,0.14285714285714285,0.0,0.0,0.0,0.1941747572815534,0.2,0.0,0.0,0.4,0.0,0.0,0.1111111111111111,0.2857142857142857,0.7009966777408637,0.37931034482758624,0.4941311978938131,0.3294117647058823,pozitive
0.03070175438596491,0.046242774566473986,0.0,0.0,0.2608695652173913,0.6083333333333334,0.6116666666666667,0.13636363636363635,0.0,0.0,0.08333333333333333,0.0,0.12698412698412698,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.6212624584717608,0.5172413793103449,0.5387779727950855,0.3294117647058823,pozitive
0.03070175438596491,0.03468208092485549,0.017543859649122806,0.0,0.10869565217391304,0.2953125,0.621875,0.09090909090909091,0.35714285714285715,0.14285714285714285,0.0,0.0,0.17142857142857143,0.0,0.125,0.0,0.2,0.0,0.1111111111111111,0.05555555555555555,0.42857142857142855,0.5946843853820597,0.3879310344827586,0.2733106625713032,0.36816608996539785,negative
0.039473684210526314,0.03468208092485549,0.0,0.0,0.44021739130434784,0.6645833333333333,0.4625,0.22727272727272727,0.0,0.0,0.08333333333333333,0.0,0.0625,0.0,0.0,0.4,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.6212624584717608,0.660919540229885,0.5556713470820536,0.36816608996539785,pozitive
0.02631578947368421,0.057803468208092484,0.0,0.0,0.2391304347826087,0.6955555555555556,0.6822222222222222,0.3181818181818182,0.0,0.0,0.08333333333333333,0.0,0.1694915254237288,0.2,0.0,0.6,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.7408637873754153,0.8793103448275862,0.5170579201404124,0.3294117647058823,pozitive
